EBER_THE	NAMIR	JOKTAN
YAHWEH	ANSWERED	SAID_ARISE
ABIATHAR_THE	ES	OF
WAS_TOLD_THAT_DAVID	COME	KEILAH
GOD	DELIVERED	INTO
AND	SAID	THE_EPHOD_HERE
YOUR	SERVANT	HEARD
DAVID	STAYED	REMAINED_THE_THE
PLACE	SEAR	THERE
DEALS	VERY	CRAFTY
DAVID_WAS_TOLD	WENT	THE_ROCK_AND
SAUL_HEARD_THAT	PURSUED	THE
DAVID	SWORAR	SAUL
DAVID	SENT	YOUNG
DAVID’S	SERVANTS	SAID
IS_THE	ES	JESSE
ARE_MANY	SERVANTS	DAYS
DAVID	SENT	HE_INSULTED_THEM
LET_YOUR	SERVANT	EARS
THIS_PRESENT_WHICH	SERVANT	MY_LORD_LET
YAHWEH	ES	SERVANT
IS_YOUR_DISCRETION_AND	TODAY	BLOOD_GUILTINESS
THEN	SAID	HER_GO
CAME_TO_AND	HELD	THE_FEAST_OF_KING
AND	BECAMAR_IN	MORNING_WHEN
TEN_DAYS_YAHWEH	DIED_SO	THAT
BACK_HIS	SERVANT	FROM
YAHWEH	RETURNED	HEAD
DAVID’S	SERVANTS_THEY	TO_SAYING
DAVID	SENT	TO_YOU_TO
YOUR	SERVANT	IS
HURRIED_AND_AROSE	RODAR	DONKEY
THEREFORE	SENT	CERTAINLY
GOD	DELIVERED	YOUR_ENEMY_INTO
DAVID_TOOK_THE_SPEAR	FALLEN	THEM
DAVID_CRIED_TO_AND	ES	NER
WHAT_HAVE	DONE	EVIL_IS_MY
CURSED_BEFORE_YAHWEH_FOR	OUT	TO
IF_IT_OUT	SERVE	GODS
WILL	RENDER	EVERY_MAN_BECAUSE
WHY_SHOULD_YOUR	SERVANT	DWELL
THEN	RETURNED	CAME_TO_ACHISH
BELIEVED_DAVID	MADE	UTTERLY_TO_ABHOR
THEREFORE	HABER	BE_MY_SERVANT
SAID_TO_THEREFORE	SERVANT	CAN
AND	BRING	I_SHALL_NAME_TO
THEN_YOU_SNARE_TO	CAUSAR	DIE
TO	BRING	UP
YAHWEH	DONE	YOU_AS
YAHWEH	TORN	TO_DAVID
LORDS_OF_AND	REAR	ACHISH
THAT	BECOME	TO_US
