GEDALIAH	HIJO_DE	AHIKAM	2KI 25:22
GEDALIAH	HIJO_DE	AHIKAM	JER 39:14
GEDALIAH	HIJO_DE	AHIKAM	JER 40:11
GEDALIAH	HIJO_DE	AHIKAM	JER 40:16
GEDALIAH	HIJO_DE	AHIKAM	JER 40:5
GEDALIAH	HIJO_DE	AHIKAM	JER 40:6
GEDALIAH	HIJO_DE	AHIKAM	JER 40:7
GEDALIAH	HIJO_DE	AHIKAM	JER 40:9
GEDALIAH	HIJO_DE	AHIKAM	JER 41:1
GEDALIAH	HIJO_DE	AHIKAM	JER 41:10
GEDALIAH	HIJO_DE	AHIKAM	JER 41:16
GEDALIAH	HIJO_DE	AHIKAM	JER 41:18
GEDALIAH	HIJO_DE	AHIKAM	JER 41:2
GEDALIAH	HIJO_DE	AHIKAM	JER 41:6
GEDALIAH	HIJO_DE	AHIKAM	JER 43:6
GEDALIAH	HIJO_DE	AMARIAH	ZEP 1:1
GEDALIAH	HIJO_DE	PASHHUR	JER 38:1
GEMARIAH	HIJO_DE	HILKIAH	JER 29:3
GEMARIAH	HIJO_DE	SHAPHAN	JER 36:10
GEMARIAH	HIJO_DE	SHAPHAN	JER 36:12
GEUEL	HIJO_DE	MACHI	NUM 13:15
GIDEON	HIJO_DE	JOASH	
GIDEON	HIJO_DE	JOASH	JDG 7:14
GIDEON	HIJO_DE	JOASH	JDG 8:13
GIDEON	HIJO_DE	JOASH	JDG 8:32
GILEAD	HIJO_DE	MACHIR	1CH 7:17
GILEAD	HIJO_DE	MACHIR	JOS 17:3
GILEAD	HIJO_DE	MACHIR	NUM 36:1
HADAD	HIJO_DE	BEDAD	1CH 1:46
HADAD	HIJO_DE	BEDAD	GEN 36:35
HADAD	HIJO_DE	TABRIMMON	1KI 15:18
HADAD	REY_DE	SYRIA	2CH 16:2
HADADEZER	HIJO_DE	REHOB	2SA 8:3
HADADEZER	REY_DE	ZOBAH	1CH 18:3
HADADEZER	REY_DE	ZOBAH	1CH 18:5
HADADEZER	REY_DE	ZOBAH	1CH 18:9
HADADEZER	REY_DE	ZOBAH	1KI 11:23
HADADEZER	REY_DE	ZOBAH	2SA 8:5
HADDON	REY_DE	ASSYRIA	EZR 4:2
HAM	PADRE_DE	CANAAN	GEN 9:22
